категория;Поисковые слова;Категория поисковых слов;Наименование поставщика социальных услуг;Адрес места нахождения поставщика социальных услуг;Описание;Контактная информация поставщика социальных услуг (телефоны, адрес электронной почты...);Сайт;Иконка;pos;Пресет;Район
Лица, отбывающие уголовное наказание, не связанное с лишением свободы, или освобожденные из мест лишения свободы;Предоставление временного проживания, медицинское наблюдение, содействие в трудоустройстве, юридическая помощь;Общие;Санкт-Петербургское государственное казённое учреждение «Центр учета и социального обслуживания граждан Российской Федерации без определенного места жительства»;192007, г Санкт-Петербург, ул. Тамбовская, д. 78,  Литер В;* Пример описания;246-08-65;http://citypoint.ksp.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.353139 59.908015;islands#blueIcon;Фрунзенский район
Лица, отбывающие уголовное наказание, не связанное с лишением свободы, или освобожденные из мест лишения свободы;Консультирование по социально-медицинским вопросам, психологическая помощь, помощь в трудоустройстве, юридическая помощь в центрах дневного пребывания;Общие;Благотворительный фонд «Центр святителя Василия Великого»;199034, г Санкт-Петербург, линия. 16-я В.О., д. 1/33;* Пример описания;328-53-27;http://svtvasilij.ru;<i class="fas fa-hand-holding-medical"></i>;30.274007 59.932847;islands#blueIcon;Василеостровский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Общество с ограниченной ответственностью "СОЦИАЛЬНАЯ СЛУЖБА ПОМОЩНИК";196006, г Санкт-Петербург, пр-кт. Лиговский, д. 254,  Литер К;* Пример описания;335-08-76, +7-925-211-46-15;https://http://seniorgroup.ru/services/patronazh-na-domu-v-spb/;<i class="fas fa-hand-holding-medical"></i>;30.335047 59.896043;islands#blueIcon;Московский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское региональное общественное учреждение социального обслуживания граждан пожилого возраста и инвалидов «Свет»;191186, г Санкт-Петербург, пр-кт. Невский, д. 44,  Литер А;* Пример описания;570-62-43, 710-43-55;http://http://light-spb.ru/;<i class="fas fa-hand-holding-medical"></i>;30.333251 59.935372;islands#blueIcon;Центральный район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Автономная некоммерческая организация «Санкт-Петербургский Центр социальной адаптации, реабилитации и абилитации»;197110, г Санкт-Петербург, ул. Глухая Зеленина, д. 6,  Литер А;* Пример описания;+7 (800) 700-91-63, +7 (965) 051-32-33;https://csa.spb.socinfo.ru/;<i class="fas fa-hand-holding-medical"></i>;30.282936 59.964147;islands#blueIcon;муниципальный округ Чкаловское
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Общество с ограниченной ответственностью «Социальный гериатрический центр «Опека Комфорт»;194044, г Санкт-Петербург, пр-кт. Большой Сампсониевский, д. 4-6,  Литер А;* Пример описания;242-50-42, 8-800-555-54-03, +7-963-304-95-72;https://sgc-opeca.ru/spb/;<i class="fas fa-hand-holding-medical"></i>;30.343914 59.957354;islands#blueIcon;Выборгский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Общество с ограниченной ответственностью «Социальный гериатрический центр «Опека»;196643, г Санкт-Петербург, п. Понтонный, ул. Клубная, д. 5,  Литер А;* Пример описания;8-800-555-54-03;https://sgc-opeca.ru/o-kompanii/;<i class="fas fa-hand-holding-medical"></i>;30.613929 59.787034;islands#blueIcon;Некоммерческие организации
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Выборгского района»;194100, г Санкт-Петербург, пр-кт. Лесной, д. 37,  Литер К;* Пример описания;248-18-66;http://http://kcsonv.vyb.gov.spb.ru/otdelenija/otdelenija-socialnogo-obsluzhivanija-na-domu/;<i class="fas fa-hand-holding-medical"></i>;30.345342 59.980425;islands#blueIcon;Выборгский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Красногвардейского района»;195213, г Санкт-Петербург, пр-кт. Новочеркасский, д. 48,  Литер А;* Пример описания;444-14-30;https://csonkr.ru/otdelenia/otdeleniya-sotsialnogo-obsluzhivaniya-na-domu-grazhdan-pozhilogo-vozrast;<i class="fas fa-hand-holding-medical"></i>;30.419237 59.923739;islands#blueIcon;территория Малая Охта
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Красносельского района»;198332, г Санкт-Петербург, пр-кт. Маршала Жукова, д. 37, корп. 3,  Литер А;* Пример описания;242-38-20;http://kcson.ucoz.org/index/otdelenija_socialnogo_obsluzhivanija_na_domu/0-12;<i class="fas fa-hand-holding-medical"></i>;30.220638 59.854847;islands#blueIcon;Красносельский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Московского района»;196135, г Санкт-Петербург, ул. Ленсовета, д. 4,  Литер А;* Пример описания;241-34-92;https://http://kcson-mosk.ru/f/na_domu_rotated_compressed.pdf;<i class="fas fa-hand-holding-medical"></i>;30.329909 59.860066;islands#blueIcon;Московский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Приморского района Санкт-Петербурга»;197183, г Санкт-Петербург, наб. Чёрной речки, д. 18;* Пример описания;409-74-70;http://kcsonprim.ru/department/oso-osmo/;<i class="fas fa-hand-holding-medical"></i>;30.293347 59.989391;islands#blueIcon;территория Новая Деревня
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр Василеостровского района»;199178, г Санкт-Петербург, линия. 17-я В.О., д. 18, корп. 3,  Литер А;* Пример описания;576-27-35;http://http://gu87.site.gov.spb.ru/struktura-centra/otdelenija-socialnogo-obsluzhivanija-na-domu-gra;<i class="fas fa-hand-holding-medical"></i>;30.266398 59.937107;islands#blueIcon;Василеостровский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Адмиралтейского района Санкт-Петербурга»;190103, г Санкт-Петербург, наб. Реки Фонтанки, д. 152а;* Пример описания;575-44-90;http://http://kcson.admiral.gov.spb.ru/otdelenija-centra/specializirovannye-otdelenija-socialno-medi;<i class="fas fa-hand-holding-medical"></i>;30.28449 59.914958;islands#blueIcon;Адмиралтейский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Калининского района Санкт-Петербурга»;195009, г Санкт-Петербург, ул. Комиссара Смирнова, д. 5/7;* Пример описания;542-05-79;http://http://kcson.kalin.gov.spb.ru/otdelenija/otdelenija-socialnogo-obsluzhivanija-na-domu/;<i class="fas fa-hand-holding-medical"></i>;30.352483 59.962859;islands#blueIcon;Калининский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Кировского района Санкт-Петербурга»;198097, г Санкт-Петербург, пер. Огородный, д. 30,  Литер А;* Пример описания;746-59-43;https://http://xn--n1afcq.xn--p1ai/otdeleniya/osod.html;<i class="fas fa-hand-holding-medical"></i>;30.275094 59.885751;islands#blueIcon;Кировский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Колпинского района Санкт-Петербурга»;196653, г Санкт-Петербург, г. Колпино, ул. Стахановская, д. 17;* Пример описания;242-32-65;http://http://kcson-kolp.ru/departments/3/;<i class="fas fa-hand-holding-medical"></i>;30.590546 59.745186;islands#blueIcon;Некоммерческие организации
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Кронштадтского района Санкт-Петербурга»;197760, г Санкт-Петербург, г. Кронштадт, пр-кт. Ленина, д. 15,  Литер А;* Пример описания;311-00-58;http://guktcsonkror.akrns.gov.spb.ru/otdelenija/otdelenija-socialnogo-obsluzhivanija-na-domu-grazhda;<i class="fas fa-hand-holding-medical"></i>;29.765919 59.99701;islands#blueIcon;Некоммерческие организации
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Курортного района»;197706, г Санкт-Петербург, г. Сестрорецк, ул. Токарева, д. 15;* Пример описания;434-10-11;http://http://kcson-kurort.ru/otdeleniya-po-obsluzhivaniyu-grazhd;<i class="fas fa-hand-holding-medical"></i>;29.95665 60.090872;islands#blueIcon;Некоммерческие организации
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Невского района»;192174, г Санкт-Петербург, ул. Седова, д. 122,  Литер А;* Пример описания;576-10-40;https://kcsonnev.spb.ru/;<i class="fas fa-hand-holding-medical"></i>;30.444534 59.868076;islands#blueIcon;Невский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Петроградского района Санкт-Петербурга»;197101, г Санкт-Петербург, ул. Большая Монетная, д. 17-19,  Литер Д;* Пример описания;498-09-60;http://kcsonpetrograd.aptrg.gov.spb.ru/;<i class="fas fa-hand-holding-medical"></i>;30.318114 59.961179;islands#blueIcon;Петроградский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Петродворцового района Санкт-Петербурга»;198510, г Санкт-Петербург, г. Петергоф, ул. Юты Бондаровской, д. 23,  Литер А;* Пример описания;417-45-53;https://http://kcsonp.ru/index.php/otdeleniya/otdelenie-sotsialnogo-obsluzhivaniya-na-domu;<i class="fas fa-hand-holding-medical"></i>;29.928865 59.862199;islands#blueIcon;Петродворцовый район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Пушкинского района»;196607, г Санкт-Петербург, г. Пушкин, ул. Новая, д. 28,  Литер А;* Пример описания;476-66-82;http://http://kcsonpushkin.pushkin.gov.spb.ru/nashi-otdelenija/osod/;<i class="fas fa-hand-holding-medical"></i>;30.412698 59.726374;islands#blueIcon;Некоммерческие организации
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Фрунзенского района Санкт-Петербурга»;192007, г Санкт-Петербург, ул. Расстанная, д. 20,  Литер А;* Пример описания;490-49-85;http://http://kcson-fr.frunz.gov.spb.ru/otdelenija/osod-sosmod/;<i class="fas fa-hand-holding-medical"></i>;30.352322 59.906634;islands#blueIcon;Фрунзенский район
Граждане трудоспособного возраста, полностью или частично утратившие способность осуществлять самообслуживание, самостоятельно передвигаться, обеспечивать основные жизненные потребности в связи с заболеванием, травмой;Социальный работник/сиделка;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Центрального района Санкт-Петербурга»;191144, г Санкт-Петербург, ул. Мытнинская, д. 13,  Литер А;* Пример описания;274-37-56;http://http://kcson-crspb.ru/content/department/otdel-soc-obsl-na-domu.html;<i class="fas fa-hand-holding-medical"></i>;30.378265 59.933929;islands#blueIcon;территория Пески
Граждане с сенсорными нарушениями развития по зрению;Обучение граждан пожилого возраста пространственному ориентированию, основам персонального компьютера, навыкам и приемам ведения домашнего хозяйства и самообслуживания, чтению и письму по системе Брайля, проведения занятий по адаптивной физической культуре и танцевально-двигательной терапии, подбор индивидуальных тифлотехнических средств реабилитации (трости, оптические средства и т.д.), психологическая помощь, организация досуга, медицинское сопровождение в центрах дневного пребывания.;Общие;Санкт-Петербургская региональная организация Общероссийской общественной организации инвалидов «Всероссийское ордена Трудового Красного Знамени общество слепых»;197198, г Санкт-Петербург, ул. Ораниенбаумская, д. 5;* Пример описания;232-11-68;http://spbvos.ru;<i class="fas fa-hand-holding-medical"></i>;30.300103 59.960097;islands#blueIcon;Петроградский район
Граждане с сенсорными нарушениями развития по зрению;Обучение граждан пожилого возраста пространственному ориентированию, основам персонального компьютера, навыкам и приемам ведения домашнего хозяйства и самообслуживания, чтению и письму по системе Брайля, проведения занятий по адаптивной физической культуре и танцевально-двигательной терапии, подбор индивидуальных тифлотехнических средств реабилитации (трости, оптические средства и т.д.), психологическая помощь, организация досуга, медицинское сопровождение в центрах дневного пребывания.;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр медико-социальной реабилитации инвалидов по зрению»;191180, г Санкт-Петербург, пер. Джамбула, д. 3,  Литер А;* Пример описания;764-88-80;http://gutcmsriz.ksp.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.333125 59.926093;islands#blueIcon;Центральный район
Граждане с сенсорными нарушениями развития по зрению;Обучение инвалидов трудоспособного возраста пространственному ориентированию, основам персонального компьютера, навыкам и приемам ведения домашнего хозяйства и самообслуживания, чтению и письму по системе Брайля, проведения занятий по адаптивной физической культуре и танцевально-двигательной терапии, подбор индивидуальных тифлотехнических средств реабилитации (трости, оптические средства и т.д.), психологическая помощь, организация досуга, медицинское сопровождение в центрах дневного пребывания.;Общие;Санкт-Петербургское государственное бюджетное учреждение «Центр медико-социальной реабилитации инвалидов по зрению»;191180, г Санкт-Петербург, пер. Джамбула, д. 3,  Литер А;* Пример описания;764-88-80;http://gutcmsriz.ksp.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.333125 59.926093;islands#blueIcon;Центральный район
Граждане с сенсорными нарушениями развития по зрению;Обучение инвалидов трудоспособного возраста пространственному ориентированию, основам персонального компьютера, навыкам и приемам ведения домашнего хозяйства и самообслуживания, чтению и письму по системе Брайля, проведения занятий по адаптивной физической культуре и танцевально-двигательной терапии, подбор индивидуальных тифлотехнических средств реабилитации (трости, оптические средства и т.д.), психологическая помощь, организация досуга, медицинское сопровождение в центрах дневного пребывания.;Общие;Санкт-Петербургская региональная организация Общероссийской общественной организации инвалидов «Всероссийское ордена Трудового Красного Знамени общество слепых»;197198, г Санкт-Петербург, ул. Ораниенбаумская, д. 5;* Пример описания;232-67-86;http://spbvos.ru;<i class="fas fa-hand-holding-medical"></i>;30.300103 59.960097;islands#blueIcon;Петроградский район
Граждане с сенсорными нарушениями развития по зрению;Обучение инвалидов трудоспособного возраста пространственному ориентированию, основам персонального компьютера, навыкам и приемам ведения домашнего хозяйства и самообслуживания, чтению и письму по системе Брайля, проведения занятий по адаптивной физической культуре и танцевально-двигательной терапии, подбор индивидуальных тифлотехнических средств реабилитации (трости, оптические средства и т.д.), психологическая помощь, организация досуга, медицинское сопровождение в центрах дневного пребывания.;Общие;Автономная некоммерческая организация «Санкт-Петербургский Центр социальной адаптации, реабилитации и абилитации»;197110, г Санкт-Петербург, ул. Глухая Зеленина, д. 6,  Литер А;* Пример описания;+7 (800) 700-91-63, +7 (965) 051-32-33;http://csa-spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.282936 59.964147;islands#blueIcon;муниципальный округ Чкаловское
Граждане с сенсорными нарушениями развития по зрению;Социальная реабилитация граждан трудоспособного возраста с предоставлением временного проживания;Общие;Общество с ограниченной ответственностью «Эглин»;198152, г Санкт-Петербург, ул. Новостроек, д. 3;* Пример описания;8-960-254-12-97;http://spb-rc.ru;<i class="fas fa-hand-holding-medical"></i>;30.261529 59.876414;islands#blueIcon;Кировский район
Граждане с сенсорными нарушениями развития по зрению;Социальная реабилитация граждан трудоспособного возраста с предоставлением временного проживания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Фрунзенского района Санкт-Петербурга»;192281, г Санкт-Петербург, б-р. Загребский, д. 25,  Литер А;* Пример описания;776-59-51;http://csri.ru;<i class="fas fa-hand-holding-medical"></i>;30.405484 59.838177;islands#blueIcon;Фрунзенский район
Граждане с сенсорными нарушениями развития по зрению;Социальная реабилитация граждан трудоспособного возраста с предоставлением временного проживания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Калининского района Санкт-Петербурга»;195252, г Санкт-Петербург, ул. Карпинского, д. 38, корп. 4,  Литер А;* Пример описания;242-32-13;http://centr-k-spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.427358 60.013942;islands#blueIcon;Калининский район
Граждане с сенсорными нарушениями развития по зрению;Социальная реабилитация граждан трудоспособного возраста с предоставлением временного проживания;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Центр социальной реабилитации инвалидов и детей-инвалидов Центрального района Санкт-Петербурга»;191119, г Санкт-Петербург, ул. Марата, д. 65/20,  Литер А;* Пример описания;246-22-20;http://gutcsriditsr.acentr.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.345234 59.921642;islands#blueIcon;Центральный район
Лица без определенного места жительства;Пунткы обогрева;Общее;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Адмиралтейского района Санкт-Петербурга»;Санкт-Петербург, наб. Обводного канала, д.177;* Пример описания;251-08-57;;<i class="fas fa-hand-holding-medical"></i>;30.29597 59.909617;islands#blueIcon;Адмиралтейский район
Лица без определенного места жительства;Пунткы обогрева;Общее;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Василеостровского района Санкт-Петербурга»;Санкт-Петербург, Шкиперский проток, д.18, к.16;* Пример описания;327-19-96;;<i class="fas fa-hand-holding-medical"></i>;30.221374 59.934682;islands#blueIcon;территория Гавань
Лица без определенного места жительства;Пунткы обогрева;Общее;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Красносельского района Санкт-Петербурга»;Санкт-Петербург,  пр. Народного Ополчения, д.211;* Пример описания;741-74-65;;<i class="fas fa-hand-holding-medical"></i>;30.178965 59.82471;islands#blueIcon;территория Лигово
Лица без определенного места жительства;Пунткы обогрева;Общее;Комплексный центр социального обслуживания населения Московского района;Санкт-Петербург, ул. Предпортовая, д.4, к.2;* Пример описания;246-28-93;;<i class="fas fa-hand-holding-medical"></i>;30.295099 59.834307;islands#blueIcon;территория Предпортовая
Лица без определенного места жительства;Пунткы обогрева;Общее;Комплексный центр социального обслуживания населения Невского района;Санкт-Петербург, пер. 3-й Рабфаковский, д.5, к.2;* Пример описания;417-34-90;;<i class="fas fa-hand-holding-medical"></i>;30.4655 59.85186;islands#blueIcon;территория Троицкое Поле
Лица без определенного места жительства;Пунткы обогрева;Общее;БОО «Мальтийская Служба Помощи»;Санкт-Петербург, пр. Коломяжский, д.6А;* Пример описания;+7 (921) 756-00-89;;<i class="fas fa-hand-holding-medical"></i>;30.297048 59.991489;islands#blueIcon;территория Комендантский Аэродром
Лица без определенного места жительства;Пунткы обогрева;Общее;Комплексный центр социального обслуживания населения Фрунзенского района;Санкт-Петербург, пр. Славы, д.70;* Пример описания;360-15-15;;<i class="fas fa-hand-holding-medical"></i>;30.421609 59.868613;islands#blueIcon;Фрунзенский район
Лица без определенного места жительства;Пунткы обогрева;Общее;БОО «Ночлежка»;Санкт-Петербург, Шкиперский проток, 18, корп. 16;* Пример описания;407-39-37;;<i class="fas fa-hand-holding-medical"></i>;30.221374 59.934682;islands#blueIcon;территория Гавань
Лица без определенного места жительства;Пунткы обогрева;Общее;БОО «Ночлежка»;Санкт-Петербург, ул. Политехническая, д.11Б;* Пример описания;407-39-37;;<i class="fas fa-hand-holding-medical"></i>;30.36002 59.993748;islands#blueIcon;Кушелевка
Лица без определенного места жительства;Обеспечение горячим питанием, санитарная обработка, социально-психологическое консультирование, содействие в трудоустройстве, юридическая помощь;Общее;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр Василеостровского района»;199178, г Санкт-Петербург, линия. 17-я В.О., д. 18, корп. 3,  Литер А;* Пример описания;576-27-35;http://gu87.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.266398 59.937107;islands#blueIcon;Василеостровский район
Лица без определенного места жительства;Обеспечение горячим питанием, санитарная обработка, социально-психологическое консультирование, содействие в трудоустройстве, юридическая помощь;Общее;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Колпинского района Санкт-Петербурга»;196653, г Санкт-Петербург, г. Колпино, ул. Стахановская, д. 17;* Пример описания;242-32-65;http://kcson-kolp.ru;<i class="fas fa-hand-holding-medical"></i>;30.590546 59.745186;islands#blueIcon;Некоммерческие организации
Лица без определенного места жительства;Обеспечение горячим питанием, санитарная обработка, социально-психологическое консультирование, содействие в трудоустройстве, юридическая помощь;Общее;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Петроградского района Санкт-Петербурга»;197101, г Санкт-Петербург, ул. Большая Монетная, д. 17-19,  Литер Д;* Пример описания;498-09-60;http://gu129.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.318114 59.961179;islands#blueIcon;Петроградский район
